Rk,Player,Bats,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,
425,Nicky Lopez,Left,30,CHC,-0.3,11,19,17,2,1,0,0,0,1,0,0,2,3,0.059,0.158,0.059,0.217,-35,1,1,0,0,0,0,
1,Ian Happ,Both,30,CHC,1,38,183,157,29,43,9,0,3,19,2,1,23,34,0.274,0.366,0.389,0.755,116,61,3,1,0,2,0,
5,Kyle Tucker,Left,28,CHC,1.6,38,177,148,30,42,8,2,9,31,10,0,28,20,0.284,0.395,0.547,0.943,166,81,3,0,0,1,3,
34,Dansby Swanson,Right,31,CHC,1.1,38,161,148,27,35,7,1,7,20,4,0,11,45,0.236,0.288,0.439,0.727,104,65,1,0,1,1,0,
45,Pete Crow-Armstrong,Left,23,CHC,2.3,38,158,147,29,39,11,1,9,27,12,2,7,34,0.265,0.303,0.537,0.841,134,79,0,1,3,0,0,
59,Seiya Suzuki,Right,30,CHC,0.6,34,153,139,20,35,6,2,9,31,1,1,13,45,0.252,0.314,0.518,0.832,133,72,4,0,0,1,0,
89,Nico Hoerner,Right,28,CHC,1,34,146,135,17,38,7,1,0,15,7,2,8,12,0.281,0.322,0.348,0.67,91,47,0,1,0,2,0,
112,Michael Busch,Left,27,CHC,1,36,138,120,16,30,7,1,6,22,2,0,15,35,0.25,0.348,0.475,0.823,132,57,1,3,0,0,0,
239,Carson Kelly,Right,30,CHC,1.7,22,86,66,17,23,2,1,8,23,0,0,18,9,0.348,0.488,0.773,1.261,253,51,2,1,0,1,0,
265,Miguel Amaya,Right,26,CHC,0.6,20,75,70,10,18,6,0,3,16,0,0,2,17,0.257,0.284,0.471,0.755,111,33,0,1,1,1,0,
290,Matt Shaw,Right,23,CHC,0,18,68,58,11,10,1,0,1,3,0,0,10,18,0.172,0.294,0.241,0.535,55,14,0,0,0,0,0,
299,Jon Berti,Right,35,CHC,0.3,24,65,59,10,16,2,0,0,2,7,1,4,12,0.271,0.338,0.305,0.644,86,18,1,2,0,0,0,
307,Justin Turner,Right,40,CHC,-0.4,22,63,53,4,9,0,0,0,7,1,0,7,15,0.17,0.27,0.17,0.44,29,9,1,1,0,2,0,
425,Nicky Lopez,Left,30,CHC,-0.1,7,13,11,2,1,0,0,0,1,0,0,2,2,0.091,0.231,0.091,0.322,-4,1,1,0,0,0,0,
432,Gage Workman,Left,25,CHC,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,0.214,0.267,0.286,0.552,58,4,0,0,0,0,0,
460,Vidal Bruján,Both,27,CHC,-0.2,11,9,9,1,2,1,0,0,0,1,1,0,2,0.222,0.222,0.333,0.556,56,3,0,0,0,0,0,
71,Miguel Vargas,Right,25,CHW,0.6,37,150,132,15,29,8,0,2,12,1,0,16,30,0.22,0.313,0.326,0.639,85,43,0,2,0,0,0,
81,Luis Robert Jr.,Right,27,CHW,0.6,36,148,125,19,24,3,0,5,16,15,5,20,46,0.192,0.301,0.336,0.637,84,42,3,0,0,1,1,
83,Andrew Vaughn,Right,27,CHW,-1.1,36,148,140,7,26,6,0,3,14,0,0,7,35,0.186,0.223,0.293,0.516,47,41,3,0,0,1,0,
127,Lenyn Sosa,Right,25,CHW,-0.1,37,134,129,10,32,5,0,2,10,0,0,4,32,0.248,0.271,0.333,0.604,73,43,3,0,1,0,0,
167,Brooks Baldwin,Both,24,CHW,-0.5,35,115,107,6,26,5,0,3,15,2,0,5,31,0.243,0.274,0.374,0.648,85,40,4,0,2,1,0,
225,Andrew Benintendi,Left,30,CHW,0.4,24,95,85,13,19,0,0,5,12,0,0,8,17,0.224,0.298,0.4,0.698,99,34,1,1,0,0,0,
258,Michael A. Taylor,Right,34,CHW,-0.1,32,78,73,9,14,5,1,1,6,3,0,5,24,0.192,0.244,0.329,0.572,63,24,1,0,0,0,0,
259,Matt Thaiss,Left,30,CHW,0.8,25,78,60,8,14,4,0,1,7,0,1,16,13,0.233,0.397,0.35,0.747,118,21,2,1,0,1,0,
286,Joshua Palacios,Left,29,CHW,-0.5,26,69,59,5,11,0,0,1,4,0,0,7,19,0.186,0.304,0.237,0.542,59,14,0,3,0,0,0,
289,Edgar Quero,Both,22,CHW,0.7,19,68,58,6,17,3,0,0,8,0,0,8,11,0.293,0.397,0.345,0.742,117,20,1,2,0,0,0,
305,Nick Maton,Left,28,CHW,-0.1,25,63,54,5,9,2,0,2,4,0,1,9,19,0.167,0.286,0.315,0.601,73,17,0,0,0,0,0,
312,Chase Meidroth,Right,23,CHW,0.5,17,62,53,9,13,1,0,0,2,3,0,9,9,0.245,0.355,0.264,0.619,82,14,2,0,0,0,0,
313,Jacob Amaya,Right,26,CHW,-1,29,61,55,6,5,1,0,0,6,2,0,2,14,0.091,0.117,0.109,0.226,-34,6,1,0,1,3,0,
390,Travis Jankowski,Left,34,CHW,-0.2,7,15,14,1,3,0,0,0,0,0,0,1,3,0.214,0.267,0.214,0.481,41,3,0,0,0,0,0,
416,Bobby Dalbec,Right,30,CHW,0,7,21,18,2,4,1,0,0,1,0,0,3,6,0.222,0.333,0.278,0.611,79,5,1,0,0,0,0,
423,Austin Slater,Right,32,CHW,0,8,20,20,2,5,2,0,1,1,0,0,0,5,0.25,0.25,0.5,0.75,110,10,0,0,0,0,0,
430,Korey Lee,Right,26,CHW,0.2,9,17,15,3,5,2,0,0,1,0,0,2,3,0.333,0.412,0.467,0.878,153,7,0,0,0,0,0,
432,Gage Workman,Left,25,CHW,-0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,
448,Josh Rojas,Left,31,CHW,0.3,4,12,10,0,3,0,0,0,2,1,0,2,3,0.3,0.417,0.3,0.717,112,3,0,0,0,0,0,
449,Mike Tauchman,Left,34,CHW,0.2,3,12,10,1,4,0,0,0,0,0,0,2,2,0.4,0.5,0.4,0.9,164,4,0,0,0,0,0,
457,Omar Narváez,Left,33,CHW,0.1,4,10,7,1,2,0,0,0,3,0,0,2,1,0.286,0.4,0.286,0.686,102,2,0,0,0,1,0,
8,Elly De La Cruz,Both,23,CIN,0.8,39,171,151,25,39,5,0,5,25,14,4,17,48,0.258,0.339,0.391,0.73,100,59,0,2,0,1,2,
22,TJ Friedl,Left,29,CIN,0.6,36,166,147,20,40,6,1,3,16,8,2,15,26,0.272,0.339,0.388,0.727,100,57,3,1,1,2,0,
108,Gavin Lux,Left,27,CIN,0.3,35,139,121,15,36,9,1,1,16,1,0,18,31,0.298,0.388,0.413,0.802,121,50,0,0,0,0,0,
123,Spencer Steer,Right,27,CIN,-0.3,32,135,123,18,23,4,0,3,11,2,0,11,32,0.187,0.259,0.293,0.552,52,36,4,1,0,0,0,
134,Matt McLain,Right,25,CIN,0.2,30,131,112,17,19,1,0,4,12,9,0,17,41,0.17,0.29,0.286,0.576,59,32,2,2,0,0,0,
202,Santiago Espinal,Right,30,CIN,0.3,30,103,95,8,30,5,0,0,9,0,1,8,9,0.316,0.369,0.368,0.737,104,35,2,0,0,0,0,
228,Jeimer Candelario,Both,31,CIN,-0.9,22,91,80,3,9,2,0,2,10,0,1,9,29,0.113,0.198,0.213,0.41,13,17,1,0,0,2,0,
229,Jake Fraley,Left,30,CIN,0.2,28,91,78,12,16,3,0,3,9,3,2,13,16,0.205,0.319,0.359,0.678,86,28,0,0,0,0,0,
231,Jose Trevino,Right,32,CIN,0.9,29,91,84,15,26,9,0,3,10,0,0,5,11,0.31,0.344,0.524,0.868,135,44,2,0,1,1,0,
266,Blake Dunn,Right,26,CIN,-0.1,30,75,60,10,9,2,0,1,7,1,1,8,25,0.15,0.32,0.233,0.553,55,14,1,7,0,0,0,
277,Noelvi Marté,Right,23,CIN,0.7,19,73,68,10,20,4,1,3,17,4,1,5,12,0.294,0.342,0.515,0.857,132,35,2,0,0,0,0,
318,Christian Encarnacion-Strand,Right,25,CIN,-0.7,15,60,57,4,9,2,0,2,5,0,1,1,13,0.158,0.183,0.298,0.482,30,17,1,1,0,1,0,
323,Austin Hays,Right,29,CIN,1,13,58,52,15,19,3,0,5,13,1,0,6,13,0.365,0.431,0.712,1.143,208,37,1,0,0,0,1,
372,Austin Wynns,Right,34,CIN,0.7,14,40,37,6,15,2,0,3,11,0,0,3,11,0.405,0.45,0.703,1.153,211,26,1,0,0,0,0,
403,Tyler Stephenson,Right,28,CIN,-0.1,7,27,22,3,4,2,0,1,4,0,0,5,11,0.182,0.333,0.409,0.742,103,9,0,0,0,0,1,
441,Jacob Hurtubise,Left,27,CIN,-0.1,12,15,12,3,1,0,0,0,0,0,0,1,6,0.083,0.267,0.083,0.35,2,1,0,2,0,0,0,
474,Rece Hinds,Right,24,CIN,0.2,2,7,6,1,2,1,0,1,2,0,0,1,3,0.333,0.429,1,1.429,278,6,0,0,0,0,0,
476,Tyler Callihan,Left,25,CIN,-0.2,4,6,6,0,1,0,0,0,1,0,0,0,1,0.167,0.167,0.167,0.333,-8,1,0,0,0,0,0,
484,Will Benson,Left,27,CIN,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,
31,Steven Kwan,Left,27,CLE,2.2,37,162,147,24,49,7,0,4,17,5,0,13,15,0.333,0.391,0.463,0.854,144,68,0,1,1,0,0,
82,Carlos Santana,Both,39,CLE,0.6,35,148,128,19,30,3,0,4,16,2,0,16,25,0.234,0.324,0.352,0.676,94,45,1,2,0,2,1,
85,José Ramírez,Both,32,CLE,0.5,35,147,129,16,35,7,0,5,17,8,2,12,17,0.271,0.333,0.442,0.775,120,57,0,2,0,4,2,
133,Kyle Manzardo,Left,24,CLE,0.5,32,131,109,15,23,3,1,8,21,1,0,18,33,0.211,0.321,0.477,0.798,125,52,1,1,0,3,1,
140,Gabriel Arias,Right,25,CLE,1.1,35,127,115,19,33,7,0,4,16,2,1,8,33,0.287,0.339,0.452,0.791,125,52,2,2,0,2,0,
204,Nolan Jones,Left,27,CLE,-0.6,33,102,86,7,14,6,0,2,6,3,2,15,31,0.163,0.287,0.302,0.589,70,26,2,0,1,0,1,
207,Brayan Rocchio,Both,24,CLE,-1,35,102,91,8,15,3,0,0,8,2,2,5,21,0.165,0.235,0.198,0.433,26,18,3,4,0,2,0,
216,Bo Naylor,Left,25,CLE,0.5,27,99,85,12,17,2,0,5,11,1,1,12,20,0.2,0.296,0.4,0.696,98,34,1,0,1,1,0,
242,Ángel Martínez,Both,23,CLE,0.1,24,84,80,8,25,4,1,0,9,3,0,2,14,0.313,0.325,0.388,0.713,104,31,2,0,1,1,0,
253,Daniel Schneemann,Left,28,CLE,0.9,28,80,70,13,20,5,0,5,11,0,1,9,21,0.286,0.367,0.571,0.939,165,40,2,0,1,0,0,
279,Jhonkensy Noel,Right,23,CLE,-0.4,29,72,69,9,12,2,0,2,9,0,0,2,21,0.174,0.194,0.29,0.484,37,20,3,0,0,1,0,
347,Lane Thomas,Right,29,CLE,-0.6,13,48,45,2,7,1,0,0,2,1,0,1,15,0.156,0.188,0.178,0.365,6,8,3,1,0,1,0,
362,Austin Hedges,Right,32,CLE,0.6,14,42,34,4,5,0,0,3,3,1,0,7,15,0.147,0.293,0.412,0.704,100,14,0,0,1,0,0,
421,Will Wilson,Right,26,CLE,-0.2,9,21,18,1,3,0,0,0,0,0,0,2,6,0.167,0.286,0.167,0.452,34,3,0,1,0,0,0,
481,Johnathan Rodríguez,Right,25,CLE,-0.1,4,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,
79,Ryan McMahon,Left,30,COL,0.7,36,148,124,13,23,5,1,4,9,1,0,22,48,0.185,0.311,0.339,0.65,77,42,1,1,0,1,0,
104,Michael Toglia,Both,26,COL,-0.6,36,140,127,9,26,7,0,4,15,2,0,11,49,0.205,0.271,0.354,0.626,69,45,3,1,0,1,2,
107,Hunter Goodman,Right,25,COL,0.4,35,139,125,16,33,5,0,5,18,0,0,10,32,0.264,0.331,0.424,0.755,104,53,5,3,0,1,0,
156,Brenton Doyle,Right,27,COL,0.3,28,120,110,11,24,4,0,4,16,4,0,9,29,0.218,0.275,0.364,0.639,73,40,3,0,0,1,0,
186,Mickey Moniak,Left,27,COL,-0.3,33,108,99,13,22,3,4,3,9,1,2,8,22,0.222,0.287,0.424,0.711,91,42,0,1,0,0,1,
196,Kyle Farmer,Right,34,COL,-0.2,31,105,100,2,24,9,0,0,7,0,0,4,24,0.24,0.267,0.33,0.597,62,33,3,0,0,1,0,
224,Jordan Beck,Right,24,COL,0.3,27,95,86,16,23,3,3,5,12,4,2,8,30,0.267,0.326,0.547,0.873,133,47,1,0,0,1,0,
255,Nick Martini,Left,35,COL,0.1,30,78,70,7,17,2,0,0,2,0,0,8,10,0.243,0.321,0.271,0.592,64,19,1,0,0,0,1,
285,Ezequiel Tovar,Right,23,COL,0,16,70,66,4,14,4,1,0,4,2,2,3,13,0.212,0.257,0.303,0.56,52,20,0,1,0,0,0,
298,Jacob Stallings,Right,35,COL,-0.3,19,66,57,4,10,3,0,0,6,0,0,5,24,0.175,0.277,0.228,0.505,40,13,1,3,1,0,0,
309,Sean Bouchard,Right,29,COL,-0.7,26,62,56,6,9,0,1,1,6,1,0,6,23,0.161,0.242,0.25,0.492,35,14,1,0,0,0,0,
337,Adael Amador,Both,22,COL,-0.5,18,51,46,2,7,3,0,1,3,1,0,3,15,0.152,0.22,0.283,0.503,36,13,1,1,1,0,0,
365,Kris Bryant,Right,33,COL,-0.5,11,41,39,2,6,2,0,0,1,0,0,2,13,0.154,0.195,0.205,0.4,9,8,1,0,0,0,0,
383,Zac Veen,Left,23,COL,-0.2,12,37,34,1,4,1,0,1,2,1,1,2,14,0.118,0.189,0.235,0.424,15,8,0,1,0,0,0,
396,Alan Trejo,Right,29,COL,-0.1,9,31,28,3,6,2,0,0,1,0,0,1,6,0.214,0.233,0.286,0.519,41,8,3,0,1,1,0,
420,Aaron Schunk,Right,27,COL,0,7,21,20,1,5,1,0,0,0,0,0,0,5,0.25,0.25,0.3,0.55,49,6,1,0,1,0,0,
434,Tyler Freeman,Right,26,COL,-0.4,7,16,11,4,1,0,0,0,1,1,0,2,3,0.091,0.313,0.091,0.403,17,1,1,2,0,1,0,
451,Owen Miller,Right,28,COL,0,5,11,9,0,1,0,0,0,1,0,0,2,2,0.111,0.273,0.111,0.384,10,1,0,0,0,0,0,
468,Braxton Fulford,Right,26,COL,-0.1,4,8,8,1,1,0,0,1,1,0,0,0,5,0.125,0.125,0.5,0.625,61,4,0,0,0,0,0,
390,Travis Jankowski,Left,34,CWS,-0.2,16,34,32,5,8,1,0,0,0,2,0,2,9,0.25,0.294,0.281,0.575,67,9,0,0,0,0,0,
432,Gage Workman,Left,25,CWS,-0.3,12,17,16,0,3,1,0,0,2,1,0,1,7,0.188,0.235,0.25,0.485,39,4,0,0,0,0,0,
29,Spencer Torkelson,Right,25,DET,1.6,38,163,138,28,35,11,0,10,32,1,0,20,40,0.254,0.356,0.551,0.907,157,76,5,3,0,2,1,
51,Riley Greene,Left,24,DET,0.5,36,154,143,20,37,5,0,8,21,0,0,10,44,0.259,0.312,0.462,0.773,120,66,4,1,0,0,1,
109,Zach McKinstry,Left,30,DET,1.3,34,139,117,20,33,6,3,1,16,3,0,19,37,0.282,0.377,0.41,0.787,127,48,1,0,1,2,1,
129,Trey Sweeney,Left,25,DET,0.9,37,133,119,23,32,3,1,3,15,2,1,14,26,0.269,0.346,0.387,0.732,111,46,1,0,0,0,0,
130,Kerry Carpenter,Left,27,DET,0.6,35,132,126,19,35,5,0,8,20,0,1,2,23,0.278,0.298,0.508,0.806,127,64,1,2,0,1,0,
173,Colt Keith,Left,23,DET,0.1,35,112,93,17,20,2,0,4,11,0,0,19,23,0.215,0.348,0.366,0.714,106,34,1,0,0,0,0,
177,Gleyber Torres,Right,28,DET,0.8,25,112,100,15,29,5,0,4,20,4,0,8,9,0.29,0.348,0.46,0.808,131,46,3,2,0,2,0,
179,Javier Báez,Right,32,DET,1.6,30,110,104,16,33,8,0,3,19,1,1,4,26,0.317,0.355,0.481,0.835,138,50,2,2,0,0,0,
201,Dillon Dingler,Right,26,DET,0.8,27,103,100,11,29,4,1,4,15,0,0,1,30,0.29,0.311,0.47,0.781,121,47,0,2,0,0,0,
241,Justyn-Henry Malloy,Right,25,DET,0.1,29,84,65,10,13,4,0,1,12,0,0,16,22,0.2,0.357,0.308,0.665,94,20,1,1,0,2,0,
310,Andy Ibáñez,Right,32,DET,0.6,25,62,54,8,14,2,0,2,12,2,0,5,4,0.259,0.339,0.407,0.746,114,22,1,2,0,1,0,
359,Ryan Kreidler,Right,27,DET,-0.2,17,44,38,5,4,0,0,0,0,2,0,4,19,0.105,0.19,0.105,0.296,-12,4,0,0,2,0,0,
368,Jace Jung,Left,24,DET,-0.2,14,41,34,6,4,0,0,0,3,0,0,7,11,0.118,0.268,0.118,0.386,17,4,2,0,0,0,0,
395,Tomás Nido,Right,31,DET,0.2,8,31,29,4,10,0,0,0,2,0,0,0,10,0.345,0.367,0.345,0.711,107,10,1,1,1,0,0,
414,Jake Rogers,Right,30,DET,0.4,6,22,18,3,4,0,1,0,0,0,0,4,5,0.222,0.364,0.333,0.697,103,6,0,0,0,0,0,
422,Manuel Margot,Right,30,DET,-0.1,6,20,19,1,6,0,0,0,3,0,0,0,6,0.316,0.3,0.316,0.616,78,6,0,0,0,1,0,
485,Brewer Hicklen,Right,29,DET,0.1,1,4,3,2,2,0,0,0,0,1,0,1,1,0.667,0.75,0.667,1.417,314,2,0,0,0,0,0,
49,Jose Altuve,Right,35,HOU,-0.6,35,154,143,17,36,4,0,4,14,3,3,10,29,0.252,0.299,0.364,0.662,88,52,3,0,0,1,1,
63,Isaac Paredes,Right,26,HOU,1.4,35,152,129,15,33,3,1,4,15,0,0,21,26,0.256,0.368,0.388,0.756,117,50,3,2,0,0,0,
68,Jeremy Peña,Right,27,HOU,1.6,36,151,136,19,38,6,0,5,16,5,0,10,21,0.279,0.34,0.434,0.774,120,59,2,3,1,1,1,
94,Christian Walker,Right,34,HOU,0.1,35,145,132,15,27,6,0,4,10,0,0,10,41,0.205,0.276,0.341,0.617,75,45,6,3,0,0,0,
152,Yordan Alvarez,Left,28,HOU,-0.4,29,121,100,7,21,4,0,3,18,1,0,16,21,0.21,0.306,0.34,0.646,85,34,0,0,0,5,3,
153,Yainer Diaz,Right,26,HOU,0,31,121,117,12,26,5,1,3,16,0,1,3,23,0.222,0.248,0.359,0.607,71,42,3,1,0,0,0,
174,Jake Meyers,Right,29,HOU,1,35,112,101,15,30,5,1,2,13,7,1,9,22,0.297,0.351,0.426,0.777,121,43,2,0,1,1,0,
223,Cam Smith,Right,22,HOU,0.5,26,96,85,9,18,2,1,3,10,1,0,9,29,0.212,0.302,0.365,0.667,90,31,1,2,0,0,0,
252,Brendan Rodgers,Right,28,HOU,0.2,25,81,71,8,16,3,0,1,10,0,1,8,27,0.225,0.309,0.31,0.619,78,22,2,1,0,1,0,
326,Zach Dezenzo,Right,25,HOU,0.2,19,57,52,12,14,4,0,1,7,1,0,5,17,0.269,0.333,0.404,0.737,110,21,1,0,0,0,0,
329,Mauricio Dubón,Right,30,HOU,0.1,22,55,51,4,11,2,0,0,6,2,0,3,4,0.216,0.259,0.255,0.514,48,13,0,0,1,0,0,
331,Victor Caratini,Both,31,HOU,0.1,18,54,46,8,10,3,0,1,2,0,0,6,11,0.217,0.333,0.348,0.681,95,16,2,2,0,0,0,
384,Chas McCormick,Right,30,HOU,0.1,23,36,28,4,7,1,0,0,0,1,1,4,11,0.25,0.344,0.286,0.629,83,8,1,0,4,0,0,
11,Bobby Witt Jr.,Right,25,KCR,2.7,39,171,151,25,49,16,0,5,23,13,4,15,26,0.325,0.392,0.53,0.922,159,80,0,3,0,2,3,
37,Vinnie Pasquantino,Left,27,KCR,0.2,38,160,148,14,32,5,1,6,23,0,0,10,29,0.216,0.269,0.385,0.654,83,57,1,1,0,1,2,
57,Jonathan India,Right,28,KCR,0,35,153,131,16,31,7,0,1,9,0,2,20,24,0.237,0.34,0.313,0.653,87,41,2,1,0,1,0,
74,Maikel Garcia,Right,25,KCR,1.5,38,149,132,15,43,10,1,4,17,9,5,15,20,0.326,0.392,0.508,0.899,153,67,1,0,1,1,0,
80,Salvador Perez,Right,35,KCR,-0.3,36,148,137,9,33,13,0,2,20,0,0,8,30,0.241,0.286,0.38,0.665,87,52,4,1,0,1,0,
126,Michael Massey,Left,27,KCR,-0.8,35,134,126,5,26,5,0,1,12,0,0,2,22,0.206,0.218,0.27,0.488,38,34,3,1,1,4,0,
219,Kyle Isbel,Left,28,KCR,0.6,34,98,92,10,23,2,1,3,12,1,1,1,19,0.25,0.253,0.391,0.644,79,36,1,0,3,2,0,
233,Drew Waters,Both,26,KCR,0.7,25,90,84,10,24,4,2,1,8,3,1,5,21,0.286,0.333,0.417,0.75,111,35,1,1,0,0,0,
236,Hunter Renfroe,Right,33,KCR,-1.6,28,87,79,2,12,3,0,0,4,0,0,7,17,0.152,0.218,0.19,0.408,17,15,3,0,0,1,0,
275,Freddy Fermin,Right,30,KCR,0.4,24,73,68,8,18,1,0,1,4,0,0,3,11,0.265,0.306,0.324,0.629,79,22,1,1,1,0,0,
303,Cavan Biggio,Left,30,KCR,-0.1,26,63,52,7,10,0,0,1,3,1,0,9,15,0.192,0.323,0.25,0.573,66,13,0,1,1,0,0,
336,MJ Melendez,Left,26,KCR,-0.4,16,52,47,4,4,1,0,1,1,0,0,3,20,0.085,0.173,0.17,0.343,-2,8,0,2,0,0,0,
369,Mark Canha,Right,36,KCR,0,17,40,34,7,10,2,0,0,2,0,0,4,8,0.294,0.375,0.353,0.728,108,12,0,1,0,1,0,
475,Luke Maile,Right,34,KCR,0.2,2,7,6,2,2,0,0,1,1,0,0,1,0,0.333,0.429,0.833,1.262,247,5,0,0,0,0,0,
482,Tyler Tolbert,Right,27,KCR,0.1,13,5,5,3,0,0,0,0,0,6,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,
86,Taylor Ward,Right,31,LAA,-0.2,35,147,138,16,25,5,0,8,14,0,1,8,41,0.181,0.224,0.391,0.616,70,54,2,0,0,1,1,
98,Jorge Soler,Right,33,LAA,0.1,35,144,130,13,30,8,0,6,16,0,0,9,41,0.231,0.292,0.431,0.722,102,56,2,3,0,2,0,
111,Nolan Schanuel,Left,23,LAA,-0.2,35,139,121,17,31,6,1,2,9,1,1,15,20,0.256,0.341,0.372,0.712,102,45,4,1,1,1,2,
141,Luis Rengifo,Both,28,LAA,-1.3,34,126,119,9,25,5,0,1,9,1,2,6,22,0.21,0.246,0.277,0.523,48,33,5,0,0,1,0,
155,Mike Trout,Right,33,LAA,-0.1,29,121,106,14,19,1,1,9,18,2,0,12,36,0.179,0.264,0.462,0.727,101,49,1,1,0,2,2,
165,Logan O'Hoppe,Right,25,LAA,0.7,31,116,109,13,31,1,0,9,17,0,0,5,40,0.284,0.319,0.541,0.86,138,59,2,1,0,1,0,
187,Kyren Paris,Right,23,LAA,0.9,33,108,96,16,21,3,1,6,11,5,1,8,41,0.219,0.299,0.458,0.757,111,44,1,3,0,0,0,
200,Jo Adell,Right,26,LAA,-0.8,30,103,98,7,18,4,0,4,16,1,0,4,28,0.184,0.223,0.347,0.57,59,34,1,1,0,0,0,
270,Zach Neto,Right,24,LAA,1.3,18,75,70,13,21,5,0,4,8,7,1,3,22,0.3,0.347,0.543,0.89,148,38,2,2,0,0,0,
287,Tim Anderson,Right,32,LAA,0,23,68,64,6,13,1,0,0,3,1,0,2,21,0.203,0.239,0.219,0.458,31,14,1,1,1,0,0,
342,Travis d'Arnaud,Right,36,LAA,-0.1,15,49,46,2,10,4,0,0,1,0,0,2,14,0.217,0.265,0.304,0.57,61,14,1,1,0,0,0,
377,Yoán Moncada,Both,30,LAA,0.2,11,39,32,5,7,2,0,2,8,0,0,6,12,0.219,0.359,0.469,0.828,133,15,0,1,0,0,0,
393,Kevin Newman,Right,31,LAA,-0.4,14,32,31,3,5,0,0,0,1,0,0,0,7,0.161,0.161,0.161,0.323,-8,5,1,0,1,0,0,
425,Nicky Lopez,Left,30,LAA,-0.1,4,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,
447,Gustavo Campero,Both,27,LAA,0,5,12,10,1,2,0,0,0,0,1,0,2,2,0.2,0.333,0.2,0.533,56,2,0,0,0,0,0,
461,J.D. Davis,Right,32,LAA,-0.2,5,9,9,0,1,0,0,0,0,0,0,0,3,0.111,0.111,0.111,0.222,-37,1,0,0,0,0,0,
471,Eddie Rosario,Left,33,LAD,0,5,8,8,1,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,-29,1,0,0,0,0,0,
17,Shohei Ohtani,Left,30,LAD,2,36,168,142,41,42,6,4,11,16,10,2,26,43,0.296,0.405,0.627,1.032,191,89,0,0,0,0,3,
53,Mookie Betts,Right,32,LAD,1.3,35,153,133,29,35,4,1,5,22,2,0,18,14,0.263,0.353,0.421,0.774,121,56,3,1,0,1,0,
110,Max Muncy,Left,34,LAD,0.4,36,139,117,8,22,7,1,1,8,1,0,19,43,0.188,0.309,0.291,0.6,73,34,2,2,0,1,0,
114,Andy Pages,Right,24,LAD,2,35,138,126,18,35,5,1,6,16,3,1,9,33,0.278,0.341,0.476,0.817,131,60,0,3,0,0,0,
119,Teoscar Hernández,Right,32,LAD,1.6,33,136,130,21,41,10,0,9,34,4,0,4,25,0.315,0.333,0.6,0.933,161,78,4,0,0,1,0,
128,Michael Conforto,Left,32,LAD,-0.7,35,133,111,16,15,4,0,2,6,1,0,20,40,0.135,0.278,0.225,0.503,47,25,7,2,0,0,0,
150,Tommy Edman,Both,30,LAD,1.2,30,122,111,19,28,4,1,8,24,2,1,6,18,0.252,0.295,0.523,0.818,129,58,1,2,0,3,0,
162,Will Smith,Right,30,LAD,1.1,30,117,97,12,31,7,0,3,19,2,1,16,26,0.32,0.41,0.485,0.895,156,47,1,1,0,3,0,
171,Freddie Freeman,Left,35,LAD,1.5,27,112,97,18,35,7,1,8,29,0,1,13,17,0.361,0.438,0.701,1.139,220,68,2,1,0,1,2,
247,Kiké Hernández,Right,33,LAD,0.3,29,82,74,9,14,1,0,5,13,0,0,6,23,0.189,0.247,0.405,0.652,83,30,2,0,1,1,0,
335,Miguel Rojas,Right,36,LAD,-0.3,21,53,52,3,13,2,0,1,3,0,0,1,9,0.25,0.264,0.346,0.61,73,18,3,0,0,0,0,
364,Austin Barnes,Right,35,LAD,-0.1,12,41,40,4,9,3,0,0,2,0,0,1,13,0.225,0.244,0.3,0.544,55,12,1,0,0,0,0,
413,Chris Taylor,Right,34,LAD,-0.3,23,24,24,3,5,1,0,0,2,0,1,0,10,0.208,0.208,0.25,0.458,31,6,1,0,0,0,0,
435,Hyeseong Kim,Left,26,LAD,-0.2,6,16,16,3,5,0,0,0,2,2,0,0,4,0.313,0.313,0.313,0.625,80,5,0,0,0,0,0,
462,James Outman,Left,28,LAD,0,3,9,7,2,1,0,0,1,3,0,0,2,5,0.143,0.333,0.571,0.905,154,4,0,0,0,0,0,
471,Eddie Rosario,Left,33,LAD,0,2,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,44,1,0,0,0,0,0,
19,Xavier Edwards,Both,25,MIA,-0.3,36,167,147,16,37,3,1,0,10,9,2,16,29,0.252,0.325,0.286,0.611,70,42,0,1,1,2,1,
117,Kyle Stowers,Left,27,MIA,0.4,34,137,119,18,36,4,1,6,25,2,1,14,40,0.303,0.375,0.504,0.879,139,60,3,1,1,2,1,
