Rk,Player,Bats,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,
316,Nathan Lukes,Left,30,TOR,0.4,23,61,50,10,13,2,0,1,9,0,2,7,9,0.26,0.367,0.36,0.727,109,18,1,2,1,1,0,
354,Addison Barger,Left,25,TOR,-0.1,16,45,41,2,7,3,0,0,3,0,0,3,8,0.171,0.244,0.244,0.488,40,10,0,1,0,0,0,
388,Tyler Heineman,Both,34,TOR,0.8,13,34,32,6,13,3,0,1,6,1,0,1,7,0.406,0.412,0.594,1.006,183,19,0,0,0,1,0,
406,Daulton Varsho,Left,28,TOR,0.5,7,26,22,4,6,1,0,3,6,1,0,3,11,0.273,0.346,0.727,1.073,197,16,0,0,0,1,1,
419,Davis Schneider,Right,26,TOR,0.1,10,21,15,2,1,0,0,0,1,0,0,5,8,0.067,0.333,0.067,0.4,23,1,1,1,0,0,0,
467,Jonatan Clase,Both,23,TOR,-0.1,2,8,8,0,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,-28,1,0,0,0,0,0,
12,James Wood,Left,22,WSN,1.3,38,170,146,22,41,10,0,10,23,5,2,23,45,0.281,0.382,0.555,0.937,165,81,1,1,0,0,0,
40,Nathaniel Lowe,Left,29,WSN,0.3,38,159,141,14,36,7,0,6,28,1,0,17,45,0.255,0.34,0.433,0.772,120,61,2,1,0,0,0,
115,Dylan Crews,Right,23,WSN,-0.1,35,137,128,20,24,2,1,4,7,9,1,6,39,0.188,0.241,0.313,0.553,57,40,0,3,0,0,0,
118,Luis García Jr.,Left,25,WSN,-0.3,34,136,119,18,28,5,0,3,13,6,0,10,19,0.235,0.294,0.353,0.647,85,42,0,2,0,5,0,
131,Keibert Ruiz,Both,26,WSN,0.5,33,132,122,13,36,5,0,2,14,0,1,8,15,0.295,0.348,0.385,0.734,110,47,2,2,0,0,0,
143,Josh Bell,Both,32,WSN,-0.9,31,125,112,12,15,0,1,5,14,0,1,12,28,0.134,0.224,0.286,0.51,45,32,5,1,0,0,0,
178,CJ Abrams,Left,24,WSN,1.1,25,111,98,16,28,5,2,4,14,8,2,8,22,0.286,0.355,0.5,0.855,142,49,0,3,1,1,0,
189,Jacob Young,Right,25,WSN,0.2,33,108,91,15,20,4,0,0,5,5,3,11,15,0.22,0.317,0.264,0.581,69,24,2,2,4,0,0,
234,Alex Call,Right,30,WSN,0.6,25,89,69,13,24,4,1,0,14,1,0,16,8,0.348,0.455,0.435,0.889,157,30,1,0,1,3,0,
284,Amed Rosario,Right,29,WSN,0.1,20,70,68,11,19,5,0,2,9,1,0,2,8,0.279,0.3,0.441,0.741,109,30,1,0,0,0,0,
317,José Tena,Left,24,WSN,-0.1,20,61,59,5,13,3,1,0,7,0,1,2,17,0.22,0.246,0.305,0.551,57,18,0,0,0,0,0,
325,Paul DeJong,Right,31,WSN,0,16,57,54,3,11,4,0,0,2,2,0,2,24,0.204,0.246,0.278,0.523,50,15,1,1,0,0,0,
389,Nasim Nuñez,Both,24,WSN,0.1,13,34,30,2,5,1,0,0,3,3,0,3,7,0.167,0.242,0.2,0.442,29,6,1,0,1,0,0,
407,Riley Adams,Right,29,WSN,-0.1,9,25,25,3,5,1,0,2,6,0,0,0,11,0.2,0.2,0.48,0.68,88,12,1,0,0,0,0,
486,Trey Lipscomb,Right,25,WSN,0.1,3,4,4,1,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,188,2,0,0,0,0,0,
