Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Matt Vierling,66,0.333,0.667,0.424,0.197,0.045,0.242,0.394,0.364,0.152,0.136,0.045,0.091,0.258,0.318,DET,38,11,1,0,1,3,11,0.289,0.349,0.395,43,1,0,1,50,10,2,0,0,4,13,0.2,0.281,0.24,57,2,0,1
Zack Short,33,0.424,0.576,0.303,0.152,0.121,0.303,0.485,0.212,0.212,0.152,0.061,0.091,0.333,0.152,HOU,17,6,1,0,1,2,8,0.353,0.421,0.588,19,0,0,0,33,5,1,0,1,2,10,0.152,0.222,0.273,37,1,1,0
James McCann,92,0.489,0.511,0.261,0.217,0.033,0.326,0.402,0.272,0.239,0.207,0.043,0.087,0.196,0.228,AZ,43,12,3,0,1,4,10,0.279,0.367,0.419,50,2,1,0,80,20,3,0,4,4,23,0.25,0.299,0.438,87,2,0,1
Blake Dunn,35,0.629,0.371,0.114,0.229,0.029,0.257,0.457,0.286,0.171,0.371,0.086,0.086,0.086,0.2,CIN,26,4,2,0,0,5,13,0.154,0.371,0.231,35,4,0,0,34,5,0,0,1,3,12,0.147,0.275,0.235,40,3,0,0
Ke'Bryan Hayes,418,0.49,0.51,0.184,0.244,0.081,0.292,0.407,0.301,0.208,0.206,0.077,0.084,0.201,0.225,CIN,113,24,5,0,0,7,25,0.212,0.256,0.257,90,0,0,0,414,100,11,3,5,29,86,0.242,0.299,0.319,147,1,0,0
Darell Hernaiz,156,0.494,0.506,0.199,0.256,0.051,0.34,0.442,0.218,0.256,0.186,0.051,0.083,0.256,0.167,ATH,48,12,1,1,1,8,6,0.25,0.357,0.375,57,0,1,0,125,28,4,0,1,9,18,0.224,0.266,0.28,140,0,1,5
Johnathan Rodriguez,49,0.592,0.408,0.143,0.245,0.02,0.388,0.286,0.327,0.306,0.184,0.102,0.082,0.102,0.224,CLE,50,12,3,1,2,5,15,0.24,0.309,0.46,55,0,0,0,21,2,1,0,0,1,7,0.095,0.136,0.143,22,0,0,0
Christian Yelich,407,0.568,0.432,0.172,0.229,0.032,0.334,0.388,0.278,0.253,0.224,0.091,0.081,0.165,0.187,MIL,186,45,7,0,4,17,57,0.242,0.316,0.344,206,3,0,0,387,106,14,0,25,47,110,0.274,0.356,0.504,438,3,0,1
Denzel Clarke,89,0.551,0.449,0.236,0.191,0.022,0.348,0.438,0.213,0.27,0.225,0.056,0.079,0.213,0.157,ATH,28,5,2,1,1,2,12,0.179,0.233,0.429,31,0,1,0,120,29,6,1,2,4,49,0.242,0.283,0.358,128,3,1,0
Edgar Quero,296,0.493,0.507,0.206,0.264,0.037,0.277,0.382,0.341,0.199,0.213,0.081,0.078,0.169,0.26,CWS,129,46,10,0,1,7,23,0.357,0.394,0.457,137,1,0,0,236,52,7,0,4,25,48,0.22,0.301,0.301,266,3,0,2
Alec Bohm,388,0.497,0.503,0.209,0.273,0.021,0.273,0.474,0.253,0.196,0.242,0.059,0.077,0.232,0.193,PHI,122,36,9,0,4,10,20,0.295,0.351,0.467,134,1,0,1,342,97,9,3,7,19,62,0.284,0.324,0.389,370,4,0,5
Jon Berti,78,0.615,0.385,0.077,0.282,0.026,0.321,0.372,0.308,0.244,0.218,0.154,0.077,0.154,0.154,CHC,29,6,0,0,0,1,3,0.207,0.233,0.207,30,0,0,0,71,15,2,0,0,4,19,0.211,0.273,0.239,77,2,0,0
DaShawn Keirsey Jr.,52,0.519,0.481,0.269,0.096,0.115,0.327,0.288,0.385,0.25,0.212,0.058,0.077,0.077,0.327,MIN,17,1,0,0,0,1,12,0.059,0.111,0.059,19,0,1,0,67,8,0,0,2,1,21,0.119,0.145,0.209,69,1,0,0
Nathan Church,41,0.659,0.341,0.195,0.098,0.049,0.366,0.317,0.317,0.293,0.244,0.122,0.073,0.073,0.195,STL,12,5,1,0,0,0,4,0.417,0.417,0.5,14,0,2,0,44,5,0,0,1,3,14,0.114,0.216,0.182,51,3,0,1
Max Schuemann,152,0.454,0.546,0.237,0.237,0.072,0.276,0.428,0.296,0.204,0.184,0.066,0.072,0.243,0.23,ATH,56,9,2,0,0,7,7,0.161,0.266,0.196,65,1,1,0,127,27,2,2,2,15,28,0.213,0.308,0.307,148,3,2,1
Brice Turang,441,0.469,0.531,0.256,0.252,0.023,0.259,0.406,0.336,0.188,0.209,0.073,0.07,0.197,0.263,MIL,174,53,6,0,3,15,42,0.305,0.361,0.391,192,1,1,1,410,115,22,2,15,51,108,0.28,0.358,0.454,467,1,1,4
Jose Tena,116,0.595,0.405,0.147,0.259,0.0,0.25,0.44,0.31,0.181,0.302,0.112,0.069,0.138,0.198,WSH,14,5,3,0,0,2,2,0.357,0.438,0.571,16,0,0,0,138,32,10,2,0,13,35,0.232,0.301,0.333,153,1,0,1
Willie MacIver,75,0.493,0.507,0.227,0.227,0.053,0.267,0.413,0.32,0.2,0.267,0.027,0.067,0.147,0.293,ATH,36,7,3,0,2,3,8,0.194,0.275,0.444,40,1,0,0,66,12,2,0,1,4,19,0.182,0.239,0.258,71,1,0,0
Ben Williamson,215,0.586,0.414,0.195,0.195,0.023,0.279,0.335,0.386,0.214,0.251,0.121,0.065,0.084,0.265,SEA,85,22,5,0,0,7,19,0.259,0.323,0.318,94,1,1,0,192,48,8,0,1,8,45,0.25,0.28,0.307,201,0,1,0
Ronny Simon,65,0.538,0.462,0.169,0.169,0.123,0.292,0.4,0.308,0.231,0.231,0.077,0.062,0.169,0.231,PIT,12,2,0,0,0,1,2,0.167,0.231,0.167,11,0,1,0,65,16,3,0,0,7,13,0.246,0.311,0.292,29,0,0,1
