Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Matt Wallner,224,0.344,0.656,0.335,0.188,0.134,0.487,0.326,0.188,0.196,0.112,0.036,0.29,0.214,0.152,MIN,85,19,9,0,4,11,20,0.224,0.32,0.471,97,1,0,0,251,49,7,3,18,35,94,0.195,0.308,0.462,295,7,0,2
Miguel Amaya,76,0.368,0.632,0.316,0.237,0.079,0.513,0.355,0.132,0.224,0.132,0.013,0.289,0.224,0.118,CHC,19,3,0,0,1,1,8,0.158,0.2,0.316,21,0,1,0,77,24,9,0,3,3,14,0.312,0.341,0.545,82,1,0,1
Andres Chaparro,45,0.422,0.578,0.2,0.222,0.156,0.467,0.289,0.244,0.178,0.111,0.133,0.289,0.178,0.111,WSH,42,9,2,0,0,5,15,0.214,0.298,0.262,47,0,0,0,24,3,0,0,1,0,7,0.125,0.154,0.25,26,1,0,1
Austin Hedges,118,0.322,0.678,0.28,0.22,0.178,0.483,0.271,0.246,0.195,0.102,0.025,0.288,0.169,0.22,CLE,77,13,2,0,2,10,24,0.169,0.261,0.273,89,0,1,1,78,12,1,0,3,8,19,0.154,0.239,0.282,91,1,3,1
Seth Brown,42,0.333,0.667,0.357,0.238,0.071,0.5,0.262,0.238,0.214,0.095,0.024,0.286,0.167,0.214,ATH,6,0,0,0,0,0,4,0.0,0.0,0.0,6,0,0,0,59,12,2,0,1,9,19,0.203,0.329,0.288,70,2,0,0
Eugenio Suarez,399,0.321,0.679,0.409,0.185,0.085,0.474,0.348,0.178,0.188,0.128,0.005,0.286,0.221,0.173,SEA,159,26,7,0,13,20,57,0.164,0.261,0.453,72,1,0,0,429,108,21,0,36,26,139,0.252,0.313,0.552,148,0,0,1
Matt Mervis,71,0.366,0.634,0.352,0.141,0.141,0.493,0.324,0.183,0.211,0.127,0.028,0.282,0.197,0.155,MIA,9,2,1,0,1,1,4,0.222,0.3,0.667,10,0,0,0,111,19,3,0,6,10,46,0.171,0.25,0.36,124,2,0,1
Cavan Biggio,50,0.28,0.72,0.46,0.24,0.02,0.4,0.4,0.2,0.12,0.14,0.02,0.28,0.26,0.18,KC,6,1,0,0,0,1,2,0.167,0.286,0.167,9,0,2,0,63,11,2,0,1,10,19,0.175,0.297,0.254,74,1,0,0
Alex Freeland,50,0.38,0.62,0.28,0.2,0.14,0.38,0.44,0.18,0.1,0.24,0.04,0.28,0.2,0.14,LAD,14,2,0,0,0,2,8,0.143,0.25,0.143,16,0,0,0,70,14,2,1,2,9,27,0.2,0.3,0.343,81,1,1,0
Kerry Carpenter,329,0.328,0.672,0.331,0.243,0.097,0.468,0.343,0.188,0.188,0.097,0.043,0.28,0.246,0.146,DET,60,13,2,0,3,2,14,0.217,0.238,0.4,63,0,0,1,373,96,16,5,23,16,92,0.257,0.3,0.512,401,7,0,1
Tristan Gray,61,0.311,0.689,0.279,0.311,0.098,0.443,0.426,0.131,0.164,0.098,0.049,0.279,0.328,0.082,TB,22,8,2,0,2,1,3,0.364,0.391,0.727,23,0,0,0,56,10,3,0,1,5,16,0.179,0.242,0.286,63,0,1,1
Gary Sanchez,65,0.415,0.585,0.308,0.154,0.123,0.569,0.262,0.169,0.292,0.108,0.015,0.277,0.154,0.154,BAL,38,8,1,0,1,2,11,0.211,0.262,0.316,42,1,0,1,53,13,1,0,4,2,16,0.245,0.322,0.491,59,4,0,0
Andruw Monasterio,94,0.319,0.681,0.319,0.245,0.117,0.479,0.33,0.191,0.202,0.106,0.011,0.277,0.223,0.181,MIL,44,12,3,0,2,5,10,0.273,0.36,0.477,50,1,0,0,82,22,6,0,2,2,22,0.268,0.294,0.415,85,1,0,0
Ozzie Albies,514,0.372,0.628,0.284,0.235,0.109,0.488,0.337,0.175,0.216,0.119,0.037,0.272,0.218,0.138,ATL,177,49,10,1,4,6,18,0.277,0.296,0.412,186,0,0,3,426,96,13,1,12,49,76,0.225,0.31,0.345,481,4,0,2
Christopher Morel,169,0.396,0.604,0.349,0.178,0.077,0.556,0.296,0.148,0.284,0.089,0.024,0.272,0.207,0.124,TB,145,32,8,0,6,14,56,0.221,0.289,0.4,159,0,0,0,133,29,8,0,5,11,53,0.218,0.288,0.391,146,2,0,0
Colson Montgomery,173,0.364,0.636,0.312,0.225,0.098,0.486,0.341,0.173,0.214,0.11,0.04,0.272,0.231,0.133,CWS,77,18,4,0,4,5,17,0.234,0.289,0.442,83,1,0,0,178,43,5,1,17,20,66,0.242,0.32,0.567,201,1,0,1
Tyler O'Neill,133,0.316,0.684,0.376,0.195,0.113,0.474,0.323,0.203,0.203,0.098,0.015,0.271,0.226,0.188,BAL,51,8,0,0,4,6,18,0.157,0.254,0.392,59,1,0,1,130,28,6,1,5,16,33,0.215,0.307,0.392,150,2,0,2
Jeff McNeil,350,0.366,0.634,0.283,0.271,0.08,0.486,0.297,0.217,0.217,0.106,0.043,0.269,0.191,0.174,NYM,89,21,4,2,1,14,16,0.236,0.352,0.36,107,2,2,0,310,76,17,3,11,35,39,0.245,0.33,0.426,355,6,0,4
Coby Mayo,179,0.358,0.642,0.318,0.19,0.134,0.464,0.296,0.24,0.196,0.101,0.061,0.268,0.196,0.179,BAL,87,22,4,0,4,9,25,0.253,0.33,0.437,97,1,0,0,176,35,8,0,7,18,59,0.199,0.284,0.364,197,3,0,0
Bo Naylor,269,0.316,0.684,0.32,0.234,0.13,0.431,0.342,0.227,0.164,0.1,0.052,0.268,0.242,0.175,CLE,76,13,1,0,2,7,13,0.171,0.238,0.263,85,0,1,1,283,57,21,1,12,38,86,0.201,0.294,0.41,329,1,2,5
Adrian Del Castillo,75,0.32,0.68,0.373,0.253,0.053,0.427,0.333,0.24,0.16,0.12,0.04,0.267,0.213,0.2,AZ,7,0,0,0,0,1,4,0.0,0.111,0.0,9,0,0,1,113,29,6,0,4,7,43,0.257,0.303,0.416,122,1,0,1
Dylan Beavers,75,0.293,0.707,0.4,0.253,0.053,0.413,0.32,0.267,0.147,0.133,0.013,0.267,0.187,0.253,BAL,20,3,1,0,1,5,4,0.15,0.32,0.35,25,0,0,0,90,22,4,1,3,21,32,0.244,0.387,0.411,112,0,1,0
Salvador Perez,473,0.351,0.649,0.326,0.233,0.091,0.459,0.332,0.209,0.192,0.125,0.034,0.266,0.207,0.175,KC,136,29,7,0,2,6,29,0.213,0.257,0.309,144,2,0,0,461,112,28,0,28,22,96,0.243,0.291,0.486,497,10,0,1
Reese McGuire,109,0.413,0.587,0.275,0.202,0.11,0.468,0.385,0.147,0.202,0.156,0.055,0.266,0.229,0.092,CHC,16,3,0,0,2,0,6,0.188,0.188,0.563,17,0,1,0,117,27,2,0,7,4,21,0.231,0.252,0.427,123,0,0,2
Andrew Benintendi,344,0.331,0.669,0.343,0.218,0.108,0.459,0.311,0.23,0.195,0.113,0.023,0.265,0.198,0.206,CWS,87,24,5,1,6,1,21,0.276,0.286,0.563,92,1,0,2,333,77,11,1,14,39,61,0.231,0.312,0.396,378,2,0,4
Endy Rodriguez,38,0.342,0.658,0.342,0.237,0.079,0.474,0.342,0.184,0.211,0.132,0.0,0.263,0.211,0.184,PIT,11,3,1,0,0,1,4,0.273,0.333,0.364,12,0,0,0,41,6,3,0,0,4,10,0.146,0.222,0.22,45,0,0,0
Ryan Fitzgerald,38,0.421,0.579,0.368,0.105,0.105,0.474,0.368,0.158,0.211,0.184,0.026,0.263,0.184,0.132,MIN,18,2,0,0,2,2,2,0.111,0.2,0.444,20,0,0,0,28,7,0,0,2,5,6,0.25,0.364,0.464,33,0,0,0
Yoan Moncada,175,0.366,0.634,0.337,0.246,0.051,0.48,0.309,0.211,0.217,0.109,0.04,0.263,0.2,0.171,LAA,23,4,1,0,0,2,6,0.174,0.259,0.217,27,1,0,1,225,54,12,2,12,30,69,0.24,0.344,0.471,262,6,0,1
Casey Schmitt,233,0.326,0.674,0.3,0.3,0.073,0.468,0.296,0.236,0.206,0.09,0.03,0.262,0.206,0.206,SF,107,21,7,0,2,12,31,0.196,0.283,0.318,120,1,0,0,205,53,8,0,10,15,52,0.259,0.317,0.444,228,4,1,3
Kyle Higashioka,233,0.361,0.639,0.3,0.258,0.082,0.511,0.309,0.18,0.249,0.09,0.021,0.262,0.219,0.159,TEX,104,26,7,0,3,4,23,0.25,0.282,0.404,110,1,0,1,199,47,7,1,8,16,49,0.236,0.295,0.402,217,1,0,1
Ha-Seong Kim,134,0.373,0.627,0.246,0.276,0.104,0.403,0.381,0.216,0.142,0.179,0.052,0.261,0.201,0.164,ATL,56,16,2,0,1,4,9,0.286,0.333,0.375,35,0,0,0,115,24,2,0,4,12,30,0.209,0.29,0.33,73,1,0,2
Ryan Noda,23,0.348,0.652,0.304,0.174,0.174,0.478,0.217,0.304,0.217,0.043,0.087,0.261,0.174,0.217,CWS,3,0,0,0,0,1,3,0.0,0.25,0.0,4,0,0,0,44,5,0,0,1,10,22,0.114,0.278,0.182,41,0,1,0
Byron Buxton,346,0.367,0.633,0.347,0.214,0.072,0.488,0.332,0.179,0.228,0.11,0.029,0.26,0.223,0.15,MIN,108,33,8,1,10,13,24,0.306,0.374,0.676,123,0,0,2,380,96,13,6,25,28,124,0.253,0.313,0.516,419,7,0,4
Spencer Steer,383,0.352,0.648,0.303,0.238,0.107,0.454,0.334,0.211,0.196,0.133,0.023,0.258,0.201,0.188,CIN,118,27,6,0,6,11,33,0.229,0.295,0.432,129,0,0,0,391,94,15,2,15,40,96,0.24,0.317,0.404,439,5,1,2
Jhonkensy Noel,97,0.464,0.536,0.278,0.165,0.093,0.546,0.268,0.186,0.289,0.134,0.041,0.258,0.134,0.144,CLE,83,15,1,0,4,2,32,0.181,0.198,0.337,86,0,0,1,65,9,1,0,2,2,20,0.138,0.164,0.246,67,0,0,0
Wilyer Abreu,276,0.315,0.685,0.399,0.181,0.105,0.435,0.315,0.25,0.178,0.109,0.029,0.257,0.207,0.221,BOS,61,14,6,0,1,6,14,0.23,0.299,0.377,68,0,1,0,312,78,11,0,21,34,87,0.25,0.321,0.487,349,0,0,3
Carlos Santana,328,0.405,0.595,0.262,0.22,0.113,0.488,0.341,0.171,0.232,0.146,0.027,0.256,0.195,0.143,CHC,130,30,3,0,4,17,26,0.231,0.318,0.346,11,0,0,0,285,61,8,0,7,35,65,0.214,0.304,0.316,8,0,0,0
Angel Martinez,345,0.386,0.614,0.296,0.235,0.084,0.467,0.348,0.186,0.212,0.145,0.029,0.255,0.203,0.157,CLE,147,41,9,0,5,13,34,0.279,0.349,0.442,169,4,3,2,299,59,14,2,6,10,76,0.197,0.227,0.318,315,2,2,2
Ronny Mauricio,114,0.456,0.544,0.228,0.211,0.105,0.474,0.289,0.237,0.219,0.167,0.07,0.254,0.123,0.167,NYM,36,3,0,0,0,2,14,0.083,0.132,0.083,38,0,0,0,132,35,6,0,6,13,40,0.265,0.336,0.447,146,1,0,0
Sean Murphy,189,0.46,0.54,0.302,0.206,0.032,0.487,0.328,0.185,0.233,0.169,0.058,0.254,0.159,0.127,ATL,96,19,5,0,7,18,38,0.198,0.336,0.469,116,2,0,0,195,39,8,0,9,17,67,0.2,0.281,0.379,221,6,0,3
Hunter Goodman,390,0.385,0.615,0.287,0.226,0.103,0.487,0.333,0.179,0.233,0.126,0.026,0.254,0.208,0.154,COL,128,36,9,1,8,11,34,0.281,0.343,0.555,140,1,0,0,412,114,19,4,23,22,118,0.277,0.317,0.51,439,3,0,2
Jose Altuve,486,0.432,0.568,0.251,0.198,0.119,0.525,0.313,0.163,0.272,0.136,0.025,0.253,0.177,0.138,HOU,111,29,2,0,7,12,28,0.261,0.331,0.468,124,0,0,1,477,127,22,1,19,43,81,0.266,0.329,0.436,530,4,1,5
Ben Rice,369,0.398,0.602,0.285,0.249,0.068,0.444,0.344,0.211,0.192,0.152,0.054,0.252,0.192,0.157,NYY,106,22,6,1,7,10,33,0.208,0.271,0.481,119,0,0,2,361,97,22,3,19,40,67,0.269,0.356,0.504,411,9,0,0
Jorge Polanco,397,0.38,0.62,0.287,0.227,0.106,0.484,0.312,0.204,0.232,0.108,0.04,0.252,0.204,0.164,SEA,105,32,10,0,5,7,20,0.305,0.345,0.543,114,0,1,1,366,93,20,0,21,35,62,0.254,0.321,0.481,410,3,2,4
Nolan Gorman,219,0.283,0.717,0.374,0.256,0.087,0.411,0.329,0.26,0.16,0.091,0.032,0.251,0.237,0.228,STL,82,18,3,0,5,10,25,0.22,0.301,0.439,93,0,0,1,269,54,11,1,9,37,111,0.201,0.294,0.349,309,0,0,3
Vinnie Pasquantino,519,0.382,0.618,0.297,0.243,0.079,0.451,0.329,0.22,0.2,0.141,0.04,0.25,0.189,0.179,KC,151,32,5,0,6,8,39,0.212,0.25,0.364,164,1,0,4,470,132,28,1,26,41,68,0.281,0.346,0.511,518,6,0,1
Mike Yastrzemski,376,0.327,0.673,0.335,0.245,0.093,0.394,0.346,0.261,0.144,0.144,0.04,0.25,0.202,0.221,KC,94,13,2,0,2,7,22,0.138,0.204,0.223,31,0,0,1,383,98,26,1,15,65,86,0.256,0.362,0.446,299,0,1,1
Nolan Arenado,356,0.365,0.635,0.301,0.216,0.118,0.421,0.348,0.23,0.171,0.129,0.065,0.25,0.219,0.166,STL,102,30,5,0,2,8,7,0.294,0.339,0.402,112,0,0,2,299,65,13,1,10,20,42,0.217,0.272,0.368,324,3,0,2
Dylan Moore,140,0.35,0.65,0.321,0.2,0.129,0.429,0.35,0.221,0.179,0.136,0.036,0.25,0.214,0.186,TEX,114,19,0,0,6,15,50,0.167,0.265,0.325,109,0,0,1,105,25,5,0,5,5,32,0.238,0.27,0.429,104,0,0,1
JJ Bleday,217,0.369,0.631,0.318,0.189,0.124,0.47,0.369,0.161,0.221,0.124,0.023,0.249,0.244,0.138,ATH,68,22,3,0,3,5,18,0.324,0.37,0.5,73,0,0,0,239,43,14,0,11,31,73,0.18,0.273,0.377,271,0,0,1
Mickey Moniak,327,0.336,0.664,0.367,0.26,0.037,0.44,0.333,0.226,0.193,0.122,0.021,0.248,0.211,0.205,COL,54,12,2,0,1,5,19,0.222,0.283,0.315,60,0,0,1,380,105,18,8,23,17,91,0.276,0.309,0.547,401,2,0,2
Kyle Tucker,416,0.339,0.661,0.327,0.267,0.067,0.452,0.339,0.209,0.204,0.101,0.034,0.248,0.238,0.175,CHC,167,45,6,1,8,23,31,0.269,0.365,0.461,193,2,0,0,333,88,19,3,14,64,57,0.264,0.383,0.465,404,2,1,3
Jahmai Jones,97,0.32,0.68,0.247,0.289,0.144,0.443,0.32,0.237,0.196,0.103,0.021,0.247,0.216,0.216,DET,104,30,9,0,7,15,28,0.288,0.393,0.577,122,3,0,0,25,7,2,1,0,3,4,0.28,0.357,0.44,28,0,0,0
Henry Davis,182,0.335,0.665,0.302,0.214,0.148,0.412,0.363,0.225,0.165,0.126,0.044,0.247,0.236,0.181,PIT,57,8,0,0,3,5,15,0.14,0.21,0.298,62,0,0,0,195,34,7,0,4,13,61,0.174,0.241,0.272,221,5,3,3
Nick Fortes,174,0.46,0.54,0.213,0.207,0.121,0.5,0.282,0.218,0.253,0.149,0.057,0.247,0.132,0.161,TB,105,23,6,0,1,7,21,0.219,0.278,0.305,62,2,0,1,113,27,3,1,4,7,26,0.239,0.312,0.389,48,5,0,0
Cody Bellinger,507,0.329,0.671,0.357,0.243,0.071,0.424,0.318,0.258,0.178,0.11,0.041,0.247,0.207,0.217,NYY,153,54,10,2,8,18,17,0.353,0.415,0.601,176,1,0,4,435,106,15,3,21,39,73,0.244,0.304,0.437,480,1,0,5
Paul DeJong,126,0.294,0.706,0.341,0.254,0.111,0.405,0.421,0.175,0.159,0.135,0.0,0.246,0.286,0.175,WSH,65,12,2,0,5,3,28,0.185,0.217,0.446,69,0,0,1,128,32,8,0,1,8,42,0.25,0.295,0.336,139,1,0,2
Andy Ibanez,151,0.404,0.596,0.278,0.272,0.046,0.464,0.331,0.205,0.219,0.146,0.04,0.245,0.185,0.166,DET,124,32,6,0,4,9,22,0.258,0.311,0.403,135,1,0,1,52,10,2,0,0,3,4,0.192,0.276,0.231,58,3,0,0
Royce Lewis,298,0.366,0.634,0.326,0.215,0.094,0.456,0.366,0.178,0.211,0.128,0.027,0.245,0.238,0.151,MIN,109,26,5,0,4,9,22,0.239,0.294,0.394,119,0,0,1,267,63,13,0,9,16,58,0.236,0.278,0.386,284,0,0,1
Jazz Chisholm Jr.,319,0.395,0.605,0.332,0.179,0.094,0.489,0.326,0.185,0.245,0.113,0.038,0.245,0.213,0.147,NYY,129,32,3,0,6,11,36,0.248,0.322,0.411,147,4,1,2,333,80,12,1,25,47,112,0.24,0.336,0.508,384,2,0,2
Alex Bregman,365,0.389,0.611,0.266,0.233,0.112,0.463,0.362,0.175,0.219,0.134,0.036,0.244,0.227,0.14,BOS,113,36,4,0,3,19,20,0.319,0.421,0.434,133,1,0,0,320,82,24,0,15,32,50,0.256,0.337,0.472,362,8,0,2
Seiya Suzuki,415,0.318,0.682,0.347,0.258,0.077,0.419,0.347,0.234,0.176,0.099,0.043,0.243,0.248,0.19,CHC,152,36,8,0,10,28,43,0.237,0.348,0.487,184,0,0,4,419,104,23,3,22,43,121,0.248,0.317,0.475,467,1,0,4
Mitch Garver,177,0.356,0.644,0.316,0.22,0.107,0.458,0.367,0.175,0.215,0.124,0.017,0.243,0.243,0.158,SEA,133,31,4,1,5,18,37,0.233,0.327,0.391,156,2,0,3,121,22,1,0,4,12,43,0.182,0.261,0.289,134,1,0,0
Tyrone Taylor,239,0.331,0.669,0.23,0.31,0.13,0.448,0.322,0.23,0.205,0.109,0.017,0.243,0.213,0.213,NYM,90,19,4,0,0,9,19,0.211,0.297,0.256,102,2,1,0,220,50,14,3,2,7,57,0.227,0.271,0.345,239,7,2,2
Austin Riley,289,0.346,0.654,0.329,0.263,0.062,0.426,0.367,0.208,0.183,0.135,0.028,0.242,0.232,0.18,ATL,96,25,3,0,4,5,22,0.26,0.297,0.417,101,0,0,0,320,83,17,1,12,22,106,0.259,0.312,0.431,346,3,0,1
Wyatt Langford,343,0.35,0.65,0.306,0.268,0.076,0.431,0.338,0.23,0.19,0.122,0.038,0.242,0.216,0.192,TEX,134,34,8,1,5,30,41,0.254,0.39,0.44,164,0,0,0,355,84,17,0,17,44,110,0.237,0.325,0.428,409,5,0,5
Gavin Sheets,389,0.373,0.627,0.244,0.29,0.093,0.422,0.339,0.239,0.18,0.139,0.054,0.242,0.201,0.185,SD,141,36,8,1,2,10,28,0.255,0.301,0.369,153,0,0,2,351,88,20,0,17,34,79,0.251,0.324,0.453,392,5,0,2
Alex Jackson,54,0.37,0.63,0.315,0.222,0.093,0.444,0.389,0.167,0.204,0.13,0.037,0.241,0.259,0.13,BAL,28,7,3,0,3,2,10,0.25,0.344,0.679,32,2,0,0,63,13,5,0,2,3,27,0.206,0.265,0.381,68,2,0,0
Jonathan Aranda,266,0.372,0.628,0.274,0.305,0.049,0.402,0.365,0.233,0.162,0.158,0.053,0.241,0.207,0.18,TB,84,23,3,0,1,12,27,0.274,0.378,0.345,98,2,0,0,286,94,19,0,13,29,80,0.329,0.398,0.531,324,6,0,3
Hunter Renfroe,79,0.43,0.57,0.253,0.139,0.177,0.506,0.316,0.177,0.266,0.152,0.013,0.241,0.165,0.165,KC,37,9,3,0,0,4,6,0.243,0.31,0.324,42,0,0,1,62,9,3,0,0,4,15,0.145,0.197,0.194,66,0,0,0
Zach Neto,358,0.363,0.637,0.316,0.246,0.075,0.458,0.332,0.209,0.218,0.112,0.034,0.24,0.221,0.176,LAA,100,23,6,0,7,7,35,0.23,0.291,0.5,110,2,0,1,402,106,23,1,19,26,114,0.264,0.326,0.468,444,12,2,2
Mookie Betts,531,0.328,0.672,0.345,0.267,0.06,0.429,0.356,0.215,0.19,0.102,0.036,0.239,0.254,0.179,LAD,165,43,6,0,7,17,19,0.261,0.326,0.424,187,1,0,4,424,109,17,2,13,44,49,0.257,0.326,0.399,476,2,0,6
Brandon Lowe,364,0.379,0.621,0.297,0.258,0.066,0.456,0.308,0.236,0.217,0.126,0.036,0.239,0.181,0.201,TB,139,27,2,0,5,5,45,0.194,0.231,0.317,147,2,0,1,368,103,17,0,26,33,104,0.28,0.335,0.538,406,0,0,5
Carson Kelly,293,0.382,0.618,0.297,0.235,0.085,0.43,0.307,0.263,0.191,0.143,0.048,0.239,0.164,0.215,CHC,111,30,4,1,5,14,22,0.27,0.349,0.459,126,0,0,1,258,62,9,0,12,31,58,0.24,0.325,0.415,295,3,0,3
Marcus Semien,386,0.345,0.655,0.334,0.231,0.091,0.446,0.368,0.187,0.207,0.111,0.026,0.238,0.256,0.161,TEX,124,29,2,0,3,17,26,0.234,0.319,0.323,144,0,0,3,346,79,14,1,12,33,67,0.228,0.3,0.379,390,5,0,6
Kyle Manzardo,340,0.303,0.697,0.353,0.244,0.1,0.397,0.344,0.259,0.159,0.118,0.026,0.238,0.226,0.232,CLE,86,16,3,1,5,7,25,0.186,0.253,0.419,95,1,0,1,384,94,16,1,22,41,110,0.245,0.326,0.464,436,7,0,4
Brett Wisely,42,0.286,0.714,0.357,0.214,0.143,0.357,0.452,0.19,0.119,0.167,0.0,0.238,0.286,0.19,SF,8,2,1,0,0,1,2,0.25,0.333,0.375,9,0,0,0,46,8,3,0,1,6,12,0.174,0.269,0.304,9,0,0,0
Harrison Bader,315,0.457,0.543,0.229,0.225,0.089,0.438,0.359,0.203,0.2,0.2,0.057,0.238,0.159,0.146,PHI,141,32,5,0,6,12,56,0.227,0.299,0.39,69,3,0,1,307,92,19,1,11,27,80,0.3,0.369,0.476,219,7,0,2
Everson Pereira,38,0.421,0.579,0.316,0.211,0.053,0.526,0.316,0.158,0.289,0.132,0.0,0.237,0.184,0.158,TB,34,6,1,0,2,2,17,0.176,0.222,0.382,36,0,0,0,31,3,0,0,0,5,11,0.097,0.216,0.097,37,0,0,1
Michael Massey,224,0.313,0.688,0.308,0.254,0.125,0.46,0.29,0.25,0.223,0.08,0.009,0.237,0.21,0.241,KC,47,11,2,0,0,1,9,0.234,0.25,0.277,49,0,1,0,215,53,7,0,3,8,34,0.247,0.272,0.321,228,1,0,4
Kyle Stowers,279,0.387,0.613,0.301,0.258,0.054,0.441,0.301,0.258,0.204,0.14,0.043,0.237,0.161,0.215,MIA,91,23,4,1,1,9,21,0.253,0.33,0.352,103,2,0,1,308,92,17,2,24,39,104,0.299,0.38,0.601,354,3,1,3
Jurickson Profar,259,0.363,0.637,0.313,0.193,0.131,0.444,0.305,0.251,0.208,0.104,0.05,0.236,0.201,0.201,ATL,95,25,5,0,3,11,18,0.263,0.346,0.411,107,1,0,0,223,53,11,1,11,37,41,0.238,0.356,0.444,264,4,0,0
Jose Fermin,51,0.392,0.608,0.255,0.275,0.078,0.451,0.353,0.196,0.216,0.137,0.039,0.235,0.216,0.157,STL,10,3,1,0,0,1,2,0.3,0.364,0.4,11,0,0,0,50,14,4,0,1,7,8,0.28,0.379,0.42,59,1,1,0
Ketel Marte,400,0.408,0.593,0.282,0.218,0.093,0.473,0.34,0.188,0.238,0.14,0.03,0.235,0.2,0.158,AZ,159,44,11,0,9,21,25,0.277,0.375,0.516,184,4,0,0,321,92,17,0,19,43,58,0.287,0.376,0.517,372,5,0,3
Trent Grisham,358,0.372,0.628,0.335,0.207,0.087,0.478,0.355,0.168,0.243,0.106,0.022,0.235,0.249,0.145,NYY,132,24,1,0,7,21,41,0.182,0.303,0.348,155,2,0,0,362,92,8,1,27,61,96,0.254,0.364,0.506,426,2,0,1
Cole Young,180,0.383,0.617,0.289,0.222,0.106,0.417,0.283,0.3,0.183,0.144,0.056,0.233,0.139,0.244,SEA,59,13,4,1,0,7,14,0.22,0.313,0.322,67,1,0,0,164,34,3,0,4,21,33,0.207,0.298,0.299,190,1,2,2
Austin Wynns,73,0.438,0.562,0.315,0.205,0.041,0.438,0.384,0.178,0.205,0.205,0.027,0.233,0.178,0.151,ATH,36,9,3,0,1,1,14,0.25,0.263,0.417,25,0,0,1,67,21,5,0,5,4,18,0.313,0.352,0.612,42,0,1,0
Connor Norby,224,0.388,0.612,0.308,0.254,0.049,0.442,0.304,0.254,0.21,0.138,0.04,0.232,0.165,0.214,MIA,87,16,3,0,2,13,27,0.184,0.297,0.287,101,1,0,0,224,62,14,1,6,5,63,0.277,0.301,0.429,236,4,0,3
Kody Clemens,259,0.344,0.656,0.336,0.251,0.069,0.444,0.378,0.178,0.212,0.108,0.023,0.232,0.27,0.154,MIN,78,15,2,0,0,6,23,0.192,0.264,0.218,89,2,2,1,270,59,10,4,19,23,70,0.219,0.286,0.496,7,0,0,0
Miguel Vargas,407,0.29,0.71,0.351,0.253,0.106,0.405,0.361,0.233,0.174,0.091,0.025,0.231,0.27,0.209,CWS,138,36,14,1,2,14,28,0.261,0.325,0.42,154,0,0,2,366,82,18,1,14,42,72,0.224,0.313,0.393,415,6,0,1
Jorge Barrosa,52,0.442,0.558,0.346,0.212,0.0,0.481,0.385,0.135,0.25,0.154,0.038,0.231,0.231,0.096,AZ,39,6,2,0,1,2,11,0.154,0.205,0.282,44,1,0,2,32,4,1,0,0,0,11,0.125,0.121,0.156,33,0,0,1
Sean Bouchard,39,0.385,0.615,0.256,0.282,0.077,0.513,0.205,0.282,0.282,0.103,0.0,0.231,0.103,0.282,COL,47,9,0,0,1,4,16,0.191,0.255,0.255,51,0,0,0,19,2,0,1,0,3,11,0.105,0.227,0.211,22,0,0,0
Wilmer Flores,334,0.35,0.65,0.269,0.26,0.12,0.389,0.35,0.26,0.159,0.144,0.048,0.231,0.207,0.213,SF,140,33,3,0,6,9,29,0.236,0.285,0.386,151,1,0,1,279,68,7,0,10,25,59,0.244,0.317,0.376,312,6,0,2
Ramon Urias,274,0.416,0.584,0.255,0.241,0.088,0.449,0.336,0.215,0.219,0.161,0.036,0.23,0.175,0.179,HOU,107,28,5,0,4,10,31,0.262,0.322,0.421,38,0,0,0,245,57,12,0,7,17,57,0.233,0.278,0.367,63,0,0,1
Jose Trevino,248,0.476,0.524,0.222,0.234,0.069,0.423,0.355,0.222,0.194,0.21,0.073,0.23,0.145,0.149,CIN,74,14,6,0,1,4,7,0.189,0.228,0.311,79,0,0,1,208,53,14,0,3,11,32,0.255,0.288,0.365,223,0,1,3
Austin Hays,279,0.416,0.584,0.283,0.244,0.057,0.47,0.341,0.19,0.24,0.154,0.022,0.229,0.186,0.168,CIN,91,29,9,3,2,12,24,0.319,0.4,0.549,105,1,0,1,289,72,7,2,13,17,83,0.249,0.286,0.422,311,0,0,5
Wenceel Perez,262,0.366,0.634,0.313,0.233,0.088,0.424,0.336,0.24,0.195,0.145,0.027,0.229,0.191,0.214,DET,98,28,6,2,5,7,23,0.286,0.324,0.541,108,0,0,3,246,56,11,2,8,24,64,0.228,0.302,0.386,275,3,0,2
Corbin Carroll,415,0.357,0.643,0.32,0.229,0.094,0.424,0.352,0.224,0.195,0.135,0.027,0.229,0.217,0.198,AZ,179,44,11,4,8,18,44,0.246,0.323,0.486,201,3,0,1,385,102,21,13,23,49,109,0.265,0.351,0.566,441,4,0,3
